track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity,youtube_views,youtube_likes,tiktok_posts,tiktok_likes,tiktok_views,explicit_track
Stone Butterfly 2025,Origin Arc,L. Nakamura,10/20/2023,QZWA32200398,3549,22.8,94305899.0,11356.0,9053525.0,72.0,48837884.0,316446.0,24000.0,8394951.0,73323706.0,1
Ember Valley 2025,Prime Story,N. Fischer,8/17/2018,USAT21802011,365,80.1,1668741024.0,174052.0,42966784.0,76.0,1254501233.0,9554049.0,5371543.0,206785018.0,2733847243.0,0
Glass Reactor 2025,Final Chapter,Y. Tanaka,11/20/2020,USUM72018810,2075,31.6,606018960.0,77941.0,24028281.0,61.0,249997553.0,4474871.0,148379.0,24539124.0,177089056.0,0
Iron Garden 2025,Universe Zero,F. Nguyen,10/2/2020,USSM12005346,1556,37.2,653352641.0,181583.0,32640138.0,77.0,155865473.0,1851789.0,32163.0,9481274.0,81321613.0,1
Deep Current 2025,Open Sky,K. Olsen,12/26/2019,INS181905948,3154,24.6,129283318.0,9852.0,5286439.0,57.0,835213852.0,4972865.0,227900.0,8182757.0,71482445.0,0
Crimson Archive 2025,Legacy Cycle,G. Murphy,5/9/2017,USUM71703515,944,49.5,1257258072.0,156442.0,33271283.0,76.0,1192880501.0,7815307.0,202700.0,27054065.0,340416328.0,0
Northern Code 2025,Prime Story,N. Fischer,12/7/2023,USB272300115,4179,20.7,9129729.0,1422.0,3777844.0,,78290967.0,103564.0,,,,0
Blue Static 2025,Dark Matter,D. Rossi,6/14/2024,GBCPZ2423268,3546,22.8,,8.0,3490536.0,,,,,,,0
Frozen Ledger 2025,Chronicles Saga,T. Kim,1/28/2014,USUM71400108,4344,20.2,663939688.0,87146.0,28385073.0,67.0,462058635.0,4042516.0,173337.0,25471805.0,215796397.0,0
Crystal Fault 2025,Chronicles Saga,G. Murphy,3/9/2020,US5TA2000006,2825,26.3,365845397.0,29751.0,5840656.0,66.0,731488947.0,8414274.0,116880.0,56690917.0,362463277.0,0
Feral Harmony 2025,New Dawn,T. Kim,5/23/2005,GBAYE0500172,3548,22.8,1407382497.0,357484.0,72604627.0,78.0,1211241854.0,10819604.0,337277.0,152628012.0,1396761942.0,0
Arctic Pulse 2025,Chronicles Saga,B. Carter,8/24/2023,BCX5C2300025,888,51.2,178699480.0,14552.0,18055636.0,24.0,261753577.0,1458487.0,,339300.0,2800000.0,0
Iron Garden 2025,Chronicles Saga,R. Silva,5/10/2024,BXIV82456543,315,86.1,51198446.0,3022.0,40425173.0,80.0,14990394.0,244589.0,245300.0,,,0
Hyperion Rise 2025,Legacy Cycle,D. Rossi,7/27/2018,NOG841806010,2173,30.8,596469106.0,81058.0,16282307.0,67.0,919443352.0,9060446.0,155324.0,14285955.0,127865814.0,0
Crystal Fault 2025,Chronicles Saga,N. Fischer,2/22/2024,USUMV2302771,1459,38.4,811545581.0,1.0,65.0,,,,,,,1
Aurora Debt 2025,Origin Arc,L. Nakamura,2/5/2016,US7SR1600006,2121,31.2,769295129.0,195653.0,20289921.0,71.0,706646464.0,7579662.0,1332046.0,279290956.0,3016090659.0,0
Hyperion Rise 2025,Final Chapter,K. Olsen,5/20/2024,US5TA2400118,942,49.6,899456.0,147.0,2784044.0,46.0,31419384.0,139393.0,,,,0
Desert Oracle 2025,Origin Arc,O. Dubois,8/18/2023,USSM12306461,227,102.4,205468104.0,30639.0,39407660.0,69.0,61624959.0,1364492.0,67350.0,33519594.0,503074793.0,0
Ghost Frequency 2025,Legacy Cycle,G. Murphy,1/1/2009,USHR10924519,2695,27.1,1587114096.0,210519.0,147125974.0,76.0,993529828.0,4526606.0,428033.0,49702880.0,338781002.0,0
Last Signal 2025,Legacy Cycle,L. Nakamura,6/4/2023,GBUM72305707,3252,24.1,76510509.0,35841.0,3367961.0,64.0,11734153.0,115504.0,61.0,5249.0,76912.0,1
Nova Protocol 2025,Standalone,G. Murphy,11/11/2021,QZNWY2151576,4154,20.8,141747648.0,34061.0,3059194.0,57.0,66264480.0,524414.0,1199989.0,149254337.0,2053061623.0,0
Solar Drift 2025,Universe Zero,J. Martinez,1/6/2021,JPP302000760,2855,26.1,311307250.0,48587.0,6777195.0,61.0,460930832.0,3166818.0,73300.0,18691633.0,275649626.0,0
Frozen Ledger 2025,Dark Matter,Y. Tanaka,6/24/2022,USANG2274868,2273,30.0,10762.0,5.0,29.0,4.0,20819326.0,318193.0,3400423.0,19977613.0,274491219.0,0
Silver Transit 2025,Prime Story,P. Singh,3/28/2019,USSM11900950,566,63.9,770653954.0,81459.0,36880651.0,66.0,2296478541.0,10488884.0,216000.0,24907115.0,353024939.0,0
Neon Horizon 2025,Dark Matter,Y. Tanaka,11/25/2020,USSD12000562,2277,30.0,401104048.0,42742.0,14190262.0,66.0,458776041.0,3332448.0,1002990.0,85197306.0,718042201.0,0
Ocean of Stars 2025,Final Chapter,G. Murphy,7/2/2021,QZHZ52129395,2685,27.2,154010050.0,66808.0,4409868.0,63.0,234249323.0,1315242.0,417782.0,60004357.0,729439284.0,0
Golden Ratio 2025,Universe Zero,S. Patel,6/29/2020,KRA382002246,3258,24.1,280901994.0,31034.0,6694945.0,63.0,489518287.0,8770696.0,854500.0,100199461.0,948594062.0,0
Lunar Cartography 2025,Standalone,J. Martinez,2/11/2020,FR10S2014119,1576,36.9,33384757.0,3507.0,1365917.0,48.0,547206302.0,3673228.0,5723290.0,120770451.0,2180222501.0,0
Last Signal 2025,Origin Arc,I. Hassan,9/20/2019,USUM71913350,194,109.3,2011072164.0,222804.0,49920599.0,77.0,1290292327.0,11720744.0,2377898.0,155233360.0,1458416059.0,0
Golden Ratio 2025,Origin Arc,C. Wright,10/25/2018,USWB11802264,1815,34.1,587673746.0,88533.0,17023029.0,65.0,490164687.0,7575841.0,108400.0,2994730.0,15353974.0,1
Carbon Dreams 2025,Legacy Cycle,L. Nakamura,8/25/2017,USAT21703440,1855,33.7,2123458039.0,250221.0,69341164.0,77.0,333716726.0,2350373.0,972025.0,39843516.0,293246122.0,1
Hollow Crown 2025,Final Chapter,V. Popov,4/15/2022,USUM72204111,2494,28.5,445742307.0,68570.0,23007042.0,72.0,65247352.0,1302190.0,118871.0,53270295.0,299317588.0,0
Neon Horizon 2025,Prime Story,A. Volkov,4/29/2024,USA2P2415976,2858,26.1,11282322.0,625.0,1779055.0,,23217618.0,887493.0,,2229.0,22700.0,0
Crystal Fault 2025,New Dawn,O. Dubois,11/17/2014,USRC11402647,3739,22.1,1283683926.0,203125.0,103528914.0,79.0,351633773.0,2243784.0,382535.0,88186338.0,590688494.0,1
Electric Mirage 2025,Universe Zero,W. Stone,10/14/2017,CA5KR1576667,1626,36.3,1055558326.0,2893.0,246773.0,,,,,,,0
Nova Protocol 2025,Universe Zero,W. Stone,12/3/2021,USWB12105753,1817,34.1,171060866.0,62420.0,13385720.0,62.0,39445207.0,832416.0,1812874.0,58132303.0,954943543.0,0
Blue Static 2025,Open Sky,H. Andersson,2/2/2024,US5TA2300237,3843,21.8,56463608.0,3500.0,6710198.0,13.0,40744351.0,1252374.0,,,,0
Aurora Debt 2025,Standalone,V. Popov,7/3/2020,USUM72013632,317,85.8,785016247.0,210669.0,32702397.0,70.0,654629596.0,5578060.0,1826673.0,141952709.0,976662212.0,1
Neon Horizon 2025,Standalone,S. Patel,3/28/2023,GX4LG2101513,3126,24.7,,5.0,6700.0,,274862350.0,604907.0,,,,1
Thunder Archive 2025,Universe Zero,A. Volkov,3/20/2020,USUG12101839,884,51.4,1549317525.0,178149.0,71174158.0,73.0,385884628.0,4302435.0,89958.0,59135602.0,426511103.0,0
White Noise 2025,Standalone,C. Wright,11/18/2022,ES5052200746,1300,41.2,41254.0,14.0,769.0,1.0,593750417.0,773861.0,,,,0
Stone Butterfly 2025,Prime Story,S. Patel,2/25/2022,USRC12200139,4479,19.7,194708224.0,32664.0,28154571.0,61.0,20154009.0,183170.0,5040.0,2974319.0,29481029.0,0
Crimson Archive 2025,Origin Arc,C. Wright,8/11/2023,QMDA62306899,2025,32.0,159980783.0,17289.0,9007969.0,68.0,118381181.0,1270496.0,15519.0,1386029.0,21262061.0,0
Ghost Frequency 2025,New Dawn,D. Rossi,11/27/2023,BKLVW2300013,3341,23.7,52754470.0,6540.0,6242659.0,,70458259.0,761575.0,,143.0,2495.0,0
Broken Compass 2025,Universe Zero,E. Brooks,12/1/2022,FRUM72202503,2711,27.0,152546936.0,33014.0,4883069.0,68.0,129655800.0,510676.0,97575.0,4800473.0,54647905.0,1
Thunder Archive 2025,Standalone,S. Patel,5/25/2022,USRC12201686,1464,38.3,245406516.0,75951.0,9524862.0,60.0,53569545.0,636003.0,40000.0,11956224.0,85005540.0,1
City of Glass 2025,Universe Zero,A. Volkov,4/27/2017,USUM71704167,203,106.9,2384768901.0,244951.0,88329475.0,79.0,2707166590.0,16780231.0,1839173.0,79131934.0,906537912.0,0
Quantum Rain 2025,Prime Story,K. Olsen,4/9/2018,US5TA1800038,3365,23.6,442941122.0,37463.0,7860589.0,67.0,885861488.0,8213650.0,477246.0,138993009.0,995480226.0,0
Winter Echo 2025,Origin Arc,S. Patel,5/9/2024,QM6N22400640,1447,38.6,42032763.0,2684.0,48467220.0,79.0,12120768.0,209919.0,,,,1
City of Glass 2025,Open Sky,J. Martinez,4/10/2023,QM4TX2337764,1326,40.8,269067890.0,20356.0,8290715.0,71.0,256133933.0,2369761.0,103447.0,53293582.0,473159481.0,0
Golden Ratio 2025,Prime Story,N. Fischer,6/16/2017,USAT21701762,1932,32.9,894360950.0,99270.0,29301256.0,66.0,73078701.0,913440.0,2055066.0,42674347.0,324949762.0,1
Obsidian Heart 2025,Legacy Cycle,K. Olsen,2/24/2023,KSA012239180,1256,42.2,212084990.0,34632.0,4625072.0,37.0,191028847.0,3745346.0,159346.0,66491755.0,543360467.0,0
Paper Kingdom 2025,Origin Arc,E. Brooks,9/25/2001,USMAC0100119,4361,20.1,399145178.0,94038.0,14869138.0,68.0,1632844702.0,11706967.0,70375.0,19778665.0,167032445.0,0
Ember Valley 2025,Legacy Cycle,L. Nakamura,6/16/2021,UYB282113006,2892,25.9,203081704.0,47164.0,7286295.0,59.0,409311269.0,2277370.0,,,,0
Jade Frequency 2025,Standalone,W. Stone,9/10/2021,KRA402100098,839,53.0,502655066.0,33286.0,15876032.0,73.0,900358198.0,23155453.0,909216.0,188844723.0,1612602199.0,0
Echo Chamber 2025,Legacy Cycle,T. Kim,8/20/2020,USSD12000217,2046,31.9,423582537.0,58315.0,14632113.0,61.0,491738603.0,2883634.0,1401346.0,73369804.0,642003320.0,0
Ghost Frequency 2025,Prime Story,Q. Jensen,5/22/2023,USA2P2319853,1713,35.3,263851286.0,17657.0,7369849.0,73.0,161653032.0,3135324.0,120256.0,103362311.0,483823339.0,0
Burning Atlas 2025,Final Chapter,N. Fischer,6/2/2023,USUM72307453,2926,25.8,8470479.0,2776.0,1823591.0,43.0,8291412.0,112395.0,1400151.0,60596180.0,503891783.0,1
City of Glass 2025,Chronicles Saga,R. Silva,11/17/2023,QZTB92360479,327,84.6,273023490.0,17900.0,169190514.0,87.0,28916868.0,303426.0,744600.0,187163600.0,2850135008.0,1
Feral Harmony 2025,Open Sky,I. Hassan,10/26/2023,USUG12306673,2992,25.5,177731392.0,12908.0,25416651.0,,15781241.0,283039.0,22100.0,1905153.0,20466555.0,0
Kinetic Prayer 2025,Chronicles Saga,Z. Ali,4/22/2017,FR2X41775359,2522,28.2,,,,,1820176345.0,4950177.0,,,,0
Stone Butterfly 2025,Dark Matter,B. Carter,6/11/2021,USRC12101120,344,82.5,1178076856.0,164743.0,42269625.0,71.0,507790705.0,6169368.0,734932.0,365523934.0,2422643413.0,1
Paper Kingdom 2025,Universe Zero,K. Olsen,6/29/2018,AUUM71800255,1042,47.0,1749353402.0,182732.0,81424354.0,72.0,244698483.0,2156754.0,191718.0,48497239.0,379547638.0,1
Velvet Storm 2025,Standalone,S. Patel,12/2/2022,USUG12208786,3521,23.0,134971918.0,58239.0,5643840.0,64.0,8374578.0,77621.0,5871.0,5401097.0,34056492.0,1
Ocean of Stars 2025,Open Sky,Y. Tanaka,8/13/2021,QZDQH2148787,1210,43.0,347218974.0,34933.0,16279085.0,57.0,662346628.0,2983631.0,163723.0,31953097.0,394751759.0,0
Lunar Cartography 2025,Legacy Cycle,E. Brooks,12/2/2022,DGA0M2330144,3017,25.3,159144858.0,35171.0,7779465.0,64.0,106347047.0,622153.0,68170.0,18218057.0,239495826.0,0
Ghost Frequency 2025,Origin Arc,O. Dubois,6/16/2016,USAT21601930,296,88.6,1777196966.0,241108.0,65091468.0,78.0,2624180055.0,21763865.0,4715288.0,113594559.0,1024805500.0,0
Blue Static 2025,New Dawn,A. Volkov,10/23/2019,FR96X1996525,1214,42.9,628692.0,98.0,14910.0,23.0,1754170433.0,3004414.0,458.0,12632.0,669921.0,0
Blue Static 2025,Final Chapter,K. Olsen,3/22/2024,USSM12402034,612,61.3,69705399.0,13782.0,24255616.0,,11537917.0,283398.0,,,,1
Desert Oracle 2025,Origin Arc,N. Fischer,12/27/2013,QMBZ91375750,4438,19.8,240712.0,,,,,,,,,0
Deep Current 2025,Universe Zero,H. Andersson,2/23/2023,USUM72222541,80,167.8,1024381758.0,78554.0,69319589.0,78.0,1102289596.0,8953293.0,457111.0,15048444.0,248168852.0,1
Last Signal 2025,Open Sky,O. Dubois,3/29/2018,USUG11800570,3488,23.1,995463505.0,139596.0,44549966.0,78.0,283348553.0,3003483.0,32188.0,23839570.0,175752903.0,0
Ember Valley 2025,Legacy Cycle,G. Murphy,1/1/2012,USUM71202650,3614,22.6,538918222.0,73149.0,29404069.0,70.0,992302781.0,6629367.0,260418.0,26028741.0,149188520.0,0
Velvet Storm 2025,Legacy Cycle,M. Chen,1/9/2024,USUG12310194,4439,19.8,38388843.0,6814.0,16579754.0,,25838329.0,341078.0,,,,1
Kinetic Prayer 2025,Final Chapter,D. Rossi,1/22/2023,FR2X42304449,2144,31.1,39899018.0,2423.0,691567.0,49.0,279246643.0,4502050.0,562900.0,4399190.0,93470365.0,0
Ember Valley 2025,Dark Matter,B. Carter,5/17/2024,USUM72401987,1066,46.4,58810212.0,3394.0,9510078.0,87.0,,,97.0,,,0
Iron Garden 2025,New Dawn,T. Kim,2/21/2019,QM4TW1987698,2716,27.0,631152992.0,82632.0,15285194.0,76.0,655475553.0,3056895.0,154600.0,53883893.0,353157722.0,0
Feral Harmony 2025,Prime Story,F. Nguyen,4/12/2024,USWB12400678,30,256.0,1003215671.0,128.0,485454.0,,,,,,,1
Shadow Circuit 2025,Final Chapter,I. Hassan,3/8/2024,TRAUR2400004,362,80.3,81246715.0,4073.0,6852706.0,72.0,146249969.0,590112.0,,,,0
Carbon Dreams 2025,Legacy Cycle,Y. Tanaka,9/7/2022,JPU902203154,2259,30.1,191425175.0,26630.0,3407532.0,62.0,271219300.0,2855968.0,183701.0,53658710.0,662260750.0,0
Nova Protocol 2025,New Dawn,P. Singh,3/10/2023,QZRD92302549,4388,20.0,31705548.0,4773.0,1659794.0,50.0,11529302.0,87129.0,1625.0,109379.0,1709288.0,0
Parallel Lines 2025,Legacy Cycle,K. Olsen,2/16/2024,USAT22400762,755,55.9,,,,,,,,,,0
Infinite Margin 2025,Prime Story,P. Singh,12/7/2023,QZS7J2359132,414,75.3,153364964.0,29300.0,15208678.0,,32239845.0,576013.0,534000.0,88331091.0,749015170.0,1
Electric Mirage 2025,Dark Matter,L. Nakamura,12/13/2019,USSM11912590,2050,31.8,1225776509.0,135760.0,95644468.0,75.0,308365869.0,5355909.0,66101.0,26565378.0,188148281.0,0
Ocean of Stars 2025,Standalone,M. Chen,1/4/2020,INS182000006,4434,19.8,173193166.0,12129.0,7879651.0,60.0,643258603.0,3362426.0,54100.0,5386841.0,57212956.0,0
Hollow Crown 2025,Legacy Cycle,Q. Jensen,1/24/2020,DEUM72000017,4120,20.9,52223414.0,4281.0,4580882.0,55.0,,,3360.0,1029619.0,13055824.0,0
Broken Compass 2025,Origin Arc,O. Dubois,6/1/2023,NL2BN2300047,2160,30.9,74769930.0,34206.0,3353721.0,60.0,72559154.0,484307.0,50200.0,1761449.0,36415193.0,0
Broken Compass 2025,New Dawn,Q. Jensen,4/13/2023,BXBAL2300029,1666,35.8,96328058.0,7107.0,12749577.0,63.0,293231902.0,904116.0,72000.0,2783003.0,59451815.0,0
Red Meridian 2025,Legacy Cycle,I. Hassan,1/22/2016,TCACL1648391,2805,26.5,547304707.0,93449.0,17009946.0,68.0,566895107.0,8058632.0,2927089.0,432649655.0,4144883692.0,0
Nova Protocol 2025,Chronicles Saga,Z. Ali,12/14/2023,ARC082300049,1720,35.2,46660424.0,4000.0,10260168.0,67.0,102166795.0,528710.0,149300.0,8173814.0,132683756.0,1
Parallel Lines 2025,Dark Matter,J. Martinez,11/23/2022,SGB502288016,2309,29.8,1426122.0,284.0,21377.0,,1328757.0,33856.0,2500896.0,143257450.0,2151095470.0,1
Winter Echo 2025,Standalone,K. Olsen,12/16/2016,USAT21603705,2223,30.3,387389363.0,20.0,1347.0,,2020132561.0,11334330.0,,,,0
Jade Frequency 2025,Universe Zero,B. Carter,7/17/2020,SEBGA2000676,4549,19.5,256297608.0,58370.0,25841346.0,62.0,66278933.0,517295.0,,,,0
Obsidian Heart 2025,Standalone,G. Murphy,5/3/2024,FRX452438249,875,51.6,21803486.0,1250.0,4918007.0,72.0,39172911.0,208885.0,,,,0
Carbon Dreams 2025,Legacy Cycle,Y. Tanaka,8/27/2021,USSM12105949,945,49.5,786298066.0,204148.0,57623622.0,77.0,63403993.0,557514.0,55168.0,80647899.0,532021210.0,1
Arctic Pulse 2025,Prime Story,C. Wright,6/27/2019,USUM71910672,4542,19.5,353038338.0,64001.0,7457128.0,66.0,309458776.0,4303644.0,20311.0,3628465.0,38818268.0,0
Ghost Frequency 2025,Final Chapter,Q. Jensen,12/19/2022,USA2P2254487,1098,45.7,614497357.0,47586.0,17245496.0,74.0,202069442.0,2934641.0,396808.0,179997019.0,1587051148.0,0
Shadow Circuit 2025,Standalone,F. Nguyen,11/18/2023,INS182303269,849,52.8,123276250.0,8330.0,3632731.0,,208302578.0,1903455.0,,,,0
Glass Reactor 2025,Chronicles Saga,R. Silva,2/7/2020,USUM72002041,2457,28.8,523416171.0,164690.0,25242475.0,68.0,139802262.0,1087343.0,146034.0,25129610.0,223524052.0,1
Paper Kingdom 2025,Chronicles Saga,Y. Tanaka,3/29/2024,USCM52400059,65,181.4,199929812.0,4.0,98.0,,,,,,,1
Binary Sunset 2025,Universe Zero,P. Singh,9/1/2023,TR0012300295,2470,28.7,59964248.0,9504.0,1321095.0,,112511884.0,361436.0,116100.0,2824547.0,77807288.0,0
Violet Engine 2025,Standalone,I. Hassan,2/2/2021,QM4TW2159341,3578,22.7,116542329.0,41062.0,3658542.0,8.0,115229170.0,2436482.0,1844500.0,547119599.0,3964454629.0,1
Jade Frequency 2025,Legacy Cycle,R. Silva,4/18/2024,USUG12401033,1286,41.5,154819909.0,3535.0,21565868.0,76.0,10014516.0,120378.0,,,,1
Binary Sunset 2025,Chronicles Saga,W. Stone,9/22/2022,BXW922200018,2331,29.6,227079649.0,35385.0,8942936.0,63.0,199523728.0,1291904.0,298000.0,27867511.0,299633568.0,0
Ghost Frequency 2025,Chronicles Saga,G. Murphy,9/25/2020,USSM12005752,3013,25.3,171728710.0,72794.0,6961853.0,56.0,121946777.0,1186806.0,13022.0,826564.0,8566421.0,1
Golden Ratio 2025,Chronicles Saga,I. Hassan,5/6/2022,QM6MZ2214879,1990,32.3,500671737.0,57541.0,10245525.0,70.0,204437602.0,1398859.0,17700.0,8267001.0,66367676.0,0
Kinetic Prayer 2025,Chronicles Saga,N. Fischer,3/24/2017,USAT21700684,562,64.2,2123458039.0,59071.0,11326598.0,24.0,243662429.0,2597999.0,12978.0,2359976.0,17150790.0,1
City of Glass 2025,Chronicles Saga,A. Volkov,12/23/2019,KRA301900597,2851,26.2,471042668.0,37370.0,8743783.0,66.0,716847469.0,9852754.0,46801.0,34695574.0,222663523.0,0
Golden Ratio 2025,Standalone,A. Volkov,10/5/2015,ARF061500454,1082,46.0,70061366.0,6847.0,1133511.0,62.0,3257763799.0,9018759.0,,,,0
Aurora Debt 2025,Prime Story,Y. Tanaka,7/31/2016,USAT21602372,4337,20.2,255776823.0,52690.0,9510227.0,58.0,135880617.0,1184950.0,5158.0,1815920.0,13186028.0,1
Digital Saints 2025,Origin Arc,V. Popov,6/7/2024,QZNWT2449758,4121,20.9,11495032.0,4.0,2765.0,,,,,,,1
Velvet Storm 2025,Origin Arc,P. Singh,8/3/2018,USUM71810720,1747,34.9,502147027.0,69350.0,20445990.0,66.0,543883053.0,3896527.0,1444867.0,22688020.0,208386139.0,0
Final Orbit 2025,Universe Zero,L. Nakamura,10/28/2022,USRC12203632,598,61.9,469322271.0,68997.0,24096906.0,73.0,77831118.0,981474.0,50996.0,44266733.0,419727783.0,1
Iron Garden 2025,New Dawn,L. Nakamura,4/2/2020,QM9WM2000013,821,53.6,468900803.0,62750.0,12074538.0,60.0,1137550621.0,7566148.0,2205109.0,110809435.0,1052766873.0,0
Infinite Margin 2025,Final Chapter,C. Wright,4/28/2023,ZB1OS2300183,3747,22.1,54611633.0,19814.0,4852560.0,61.0,25626713.0,241463.0,575800.0,50987040.0,681526979.0,1
Ocean of Stars 2025,Open Sky,M. Chen,4/24/2020,NZAM02001128,77,168.9,,10230.0,1142937.0,,12489728.0,339414.0,42900000.0,919945708.0,12221514692.0,0
Red Meridian 2025,Standalone,S. Patel,2/16/2024,QM24S2400638,592,62.4,233969547.0,19001.0,153692182.0,87.0,15918146.0,259139.0,,569975.0,7383118.0,0
Lunar Cartography 2025,Final Chapter,I. Hassan,8/25/2023,USUM72312300,2587,27.8,106899723.0,23959.0,10822808.0,64.0,54351042.0,362313.0,34200.0,3566805.0,44045683.0,0
Carbon Dreams 2025,Universe Zero,O. Dubois,8/20/2021,GBUM72102422,3736,22.2,300361628.0,57447.0,23619962.0,63.0,73752014.0,482554.0,3082.0,633965.0,11785929.0,0
Silver Transit 2025,New Dawn,Z. Ali,8/22/2020,QZHNC2078374,2451,28.8,1415206.0,973.0,166740.0,19.0,59644.0,960.0,6501183.0,161122861.0,2181208314.0,1
Hollow Crown 2025,Legacy Cycle,I. Hassan,5/6/2022,QM6MZ2214894,1067,46.4,366872354.0,61014.0,15444758.0,68.0,146768761.0,1402279.0,2232600.0,180281548.0,1794129686.0,0
Neon Horizon 2025,Dark Matter,N. Fischer,1/13/2014,USRC11301790,3228,24.2,526083566.0,76288.0,26987950.0,69.0,1460145349.0,7622345.0,56018.0,34115468.0,212271619.0,0
Paper Kingdom 2025,New Dawn,P. Singh,6/17/2022,USRC12201904,2174,30.8,125056212.0,43939.0,9282167.0,61.0,123551829.0,1191440.0,93200.0,5963103.0,58980168.0,0
Arctic Pulse 2025,Origin Arc,R. Silva,5/16/2017,USUYG1142051,1950,32.6,442472374.0,85567.0,16713395.0,68.0,99029913.0,1622141.0,469276.0,58969522.0,437018233.0,1
Electric Mirage 2025,Chronicles Saga,I. Hassan,1/10/2024,QMRSZ2301148,2565,27.9,9293098.0,1348.0,2545397.0,,19200761.0,262872.0,6015.0,5065489.0,1752700.0,1
Midnight Cartel 2025,Origin Arc,O. Dubois,3/3/2022,GBUM72201160,1668,35.7,300668168.0,114589.0,7654318.0,67.0,77123844.0,796822.0,214063.0,67997711.0,669672487.0,1
Solar Drift 2025,Universe Zero,Q. Jensen,2/9/2024,QZ9QQ2400124,2120,31.2,69834726.0,3512.0,8863236.0,,51351887.0,269848.0,,392037.0,8104799.0,0
Crystal Fault 2025,Prime Story,Q. Jensen,9/14/2023,ING642306994,2589,27.8,5842217.0,191.0,173325.0,,180823113.0,1072157.0,,,,0
Burning Atlas 2025,Prime Story,E. Brooks,2/14/2020,USUYG1297281,4275,20.4,93229994.0,24779.0,2554563.0,44.0,143927230.0,1205650.0,2540017.0,233884067.0,1572821812.0,1
Hollow Crown 2025,Open Sky,W. Stone,8/19/2022,QZNMV2235460,3427,23.4,49549021.0,10601.0,3845428.0,33.0,119899690.0,1194687.0,1100000.0,183128923.0,3499011841.0,0
Violet Engine 2025,Standalone,I. Hassan,4/7/2023,QZMEV2363867,666,58.9,24215252.0,12008.0,950490.0,48.0,12381597.0,191468.0,3611019.0,229593251.0,3302969819.0,1
Parallel Lines 2025,Legacy Cycle,N. Fischer,8/4/2023,QZS7J2331813,326,84.7,53825007.0,14742.0,9204769.0,59.0,83224436.0,607267.0,88131.0,6358930.0,89022964.0,1
Ghost Frequency 2025,Legacy Cycle,M. Chen,8/24/2018,QM6MZ1886138,2010,32.1,800203170.0,9924.0,2885625.0,57.0,1349952981.0,25782597.0,,,,0
Ghost Frequency 2025,Standalone,Z. Ali,1/1/2013,GBAHS1400094,980,48.8,2525355904.0,208671.0,121163411.0,77.0,1884843329.0,9916244.0,1459274.0,502385405.0,4406781129.0,0
Kinetic Prayer 2025,Dark Matter,O. Dubois,4/9/2019,QM6MZ1924281,3290,23.9,322757243.0,60278.0,9152097.0,62.0,640816810.0,3577858.0,191433.0,28268064.0,215995105.0,1
Burning Atlas 2025,Dark Matter,C. Wright,2/23/2024,ZA56E2415633,1927,33.0,30674267.0,5326.0,8199508.0,68.0,52613580.0,674511.0,,64953911.0,934535152.0,0
Deep Current 2025,Origin Arc,K. Olsen,9/9/2021,AUUM72100371,554,64.9,533416336.0,51383.0,15263459.0,68.0,293168763.0,2744278.0,6384142.0,410346965.0,4418855338.0,0
Crimson Archive 2025,Legacy Cycle,B. Carter,4/29/2022,USSM12203787,560,64.3,395167576.0,135307.0,21175776.0,71.0,117364602.0,803990.0,31391.0,6266752.0,66661123.0,1
White Noise 2025,Open Sky,R. Silva,9/18/2023,THSOH2307725,1522,37.7,456034.0,14.0,138.0,,247148544.0,892208.0,,,,0
Thunder Archive 2025,New Dawn,M. Chen,10/13/2022,USUYG1448153,655,59.3,86103527.0,24888.0,4522560.0,62.0,211940922.0,1076420.0,3115217.0,71261169.0,1387044831.0,1
Winter Echo 2025,Chronicles Saga,R. Silva,3/8/2024,PHS032402600,4156,20.8,58823260.0,1070.0,13784216.0,78.0,30355534.0,290040.0,,2121743.0,25814718.0,0
Thunder Archive 2025,Prime Story,B. Carter,3/31/2017,USUM71703085,466,71.4,2226869580.0,311766.0,77191099.0,80.0,1281355260.0,11551257.0,1180701.0,90304316.0,769720113.0,1
Quantum Rain 2025,Dark Matter,S. Patel,1/1/2014,GBUM71401975,1289,41.5,218205900.0,28233.0,7288674.0,50.0,3559338569.0,11289750.0,15933.0,7120449.0,81433215.0,1
Silent Protocol 2025,Final Chapter,F. Nguyen,10/25/2019,USBQU1900121,4105,21.0,499764238.0,79594.0,30626148.0,78.0,100443510.0,1071510.0,86986.0,72851545.0,438475493.0,0
Final Orbit 2025,Legacy Cycle,H. Andersson,1/25/2018,USRC11703503,3891,21.6,505748520.0,60774.0,17047156.0,64.0,468137682.0,2074706.0,8387.0,368047.0,7107254.0,0
Ghost Frequency 2025,Chronicles Saga,C. Wright,6/16/2017,USAT21701747,410,75.5,458957128.0,89812.0,13215590.0,61.0,47166510.0,482132.0,28665700.0,112444345.0,1069735982.0,1
Broken Compass 2025,Standalone,I. Hassan,1/12/2024,USWB12400001,469,71.2,284119669.0,23417.0,101687677.0,84.0,14777855.0,145459.0,,509611.0,18832300.0,0
Neon Horizon 2025,Universe Zero,I. Hassan,5/16/2024,LBA132400598,2566,27.9,916695.0,97.0,384024.0,,19150049.0,391641.0,,,,0
